Depth,K
m,%
692.32,1.89516
692.42,1.80963
692.52,1.72817
692.62,1.64589
692.72,1.54433
692.82,1.41944
692.92,1.28328
693.02,1.16156
693.12,1.08612
693.22,1.08533
693.32,1.16979
693.42,1.32297
693.52,1.51119
693.62,1.68578
693.72,1.80478
693.82,1.86161
693.92,1.87114
694.02,1.8666
694.12,1.87565
694.22,1.91145
694.32,1.97071
694.42,2.03256
694.52,2.07153
694.62,2.0607
694.72,1.98572
694.82,1.8532
694.92,1.68064
695.02,1.50971
695.12,1.39287
695.22,1.3751
695.32,1.46172
695.42,1.61411
695.52,1.7748
695.62,1.88824
695.72,1.91282
695.82,1.8403
695.92,1.70176
696.02,1.55215
696.12,1.44755
696.22,1.4084
696.32,1.421
696.42,1.47026
696.52,1.52958
696.62,1.57266
696.72,1.57799
696.82,1.5352
696.92,1.46269
697.02,1.38909
697.12,1.35027
697.22,1.37436
697.32,1.456
697.42,1.56595
697.52,1.65157
697.62,1.68115
697.72,1.66673
697.82,1.65737
697.92,1.71308
698.02,1.8561
698.12,2.05976
698.22,2.25929
698.32,2.36493
698.42,2.32642
698.52,2.15225
698.62,1.90856
698.72,1.68628
698.82,1.55239
698.92,1.52716
699.02,1.59284
699.12,1.7029
699.22,1.80424
699.32,1.85246
699.42,1.831
699.52,1.75151
699.62,1.64973
699.72,1.55671
699.82,1.491
699.92,1.4532
700.02,1.42428
700.12,1.38647
700.22,1.34851
700.32,1.3387
700.42,1.38724
700.52,1.49714
700.62,1.64587
700.72,1.78338
700.82,1.85788
700.92,1.84433
701.02,1.74856
701.12,1.61848
701.22,1.5231
701.32,1.49869
701.42,1.53387
701.52,1.58691
701.62,1.62341
701.72,1.63267
701.82,1.63451
701.92,1.6572
702.02,1.71236
702.12,1.79764
702.22,1.89189
702.32,1.96239
702.42,2.00027
702.52,2.01372
702.62,2.0031
702.72,1.95664
702.82,1.86747
702.92,1.74033
703.02,1.60617
703.12,1.50028
703.22,1.44446
703.32,1.45247
703.42,1.53432
703.52,1.65771
703.62,1.76891
703.72,1.8184
703.82,1.78861
703.92,1.69938
704.02,1.60538
704.12,1.55101
704.22,1.5663
704.32,1.64598
704.42,1.75053
704.52,1.8356
704.62,1.87594
704.72,1.86863
704.82,1.82387
704.92,1.74909
705.02,1.64329
705.12,1.5081
705.22,1.3679
705.32,1.26571
705.42,1.23867
705.52,1.3212
705.62,1.50257
705.72,1.72043
705.82,1.8981
705.92,1.97954
706.02,1.9613
706.12,1.8854
706.22,1.80775
706.32,1.76193
706.42,1.75708
706.52,1.77959
706.62,1.78826
706.72,1.75356
706.82,1.68801
706.92,1.62661
707.02,1.60149
707.12,1.61232
707.22,1.64386
707.32,1.66624
707.42,1.6531
707.52,1.59807
707.62,1.52377
707.72,1.48806
707.82,1.5238
707.92,1.61476
708.02,1.71124
708.12,1.75054
708.22,1.70073
708.32,1.57655
708.42,1.44235
708.52,1.37925
708.62,1.43063
708.72,1.5719
708.82,1.73714
708.92,1.86851
709.02,1.94598
709.12,1.9752
709.22,1.96796
709.32,1.93057
709.42,1.86458
709.52,1.77604
709.62,1.69223
709.72,1.6516
709.82,1.68999
709.92,1.80515
710.02,1.96202
710.12,2.11665
710.22,2.23212
710.32,2.29474
710.42,2.31
710.52,2.28078
710.62,2.20075
710.72,2.06998
710.82,1.91654
710.92,1.76893
711.02,1.64289
711.12,1.54351
711.22,1.474
711.32,1.43238
711.42,1.4175
711.52,1.43199
711.62,1.47936
711.72,1.55576
711.82,1.63531
711.92,1.67442
712.02,1.6606
712.12,1.62183
712.22,1.59982
712.32,1.62491
712.42,1.70107
712.52,1.81404
712.62,1.92848
712.72,2.01306
712.82,2.06535
712.92,2.10827
713.02,2.16291
713.12,2.21897
713.22,2.23707
713.32,2.18546
713.42,2.06135
713.52,1.89845
713.62,1.74223
713.72,1.64548
713.82,1.65043
713.92,1.75794
714.02,1.91332
714.12,2.04613
714.22,2.1222
714.32,2.15134
714.42,2.15812
714.52,2.16357
714.62,2.18132
714.72,2.20429
714.82,2.20538
714.92,2.15503
715.02,2.04263
715.12,1.88513
715.22,1.71741
715.32,1.58166
715.42,1.519
715.52,1.55619
715.62,1.68475
715.72,1.85901
715.82,2.0156
715.92,2.09794
716.02,2.07622
716.12,1.97567
716.22,1.86885
716.32,1.81951
716.42,1.84369
716.52,1.91884
716.62,2.00351
716.72,2.0429
716.82,1.98781
716.92,1.83545
717.02,1.63407
717.12,1.46439
717.22,1.39369
717.32,1.44358
717.42,1.60957
717.52,1.86492
717.62,2.15139
717.72,2.40474
717.82,2.58191
717.92,2.65961
718.02,2.62547
718.12,2.49187
718.22,2.27692
718.32,2.01967
718.42,1.77644
718.52,1.60994
718.62,1.56792
718.72,1.65526
718.82,1.82647
718.92,2.01729
719.02,2.1633
719.12,2.21817
719.22,2.16281
719.32,2.02177
719.42,1.84999
719.52,1.69984
719.62,1.60242
719.72,1.56646
719.82,1.59447
719.92,1.67237
720.02,1.76001
720.12,1.82657
720.22,1.87579
720.32,1.9183
720.42,1.95963
720.52,1.98974
720.62,1.99088
720.72,1.97417
720.82,1.9602
720.92,1.96421
721.02,2.00237
721.12,2.06589
721.22,2.12502
721.32,2.15073
721.42,2.13577
721.52,2.11232
721.62,2.12852
721.72,2.2122
721.82,2.33633
721.92,2.44783
722.02,2.51085
722.12,2.50669
722.22,2.45205
722.32,2.38253
722.42,2.32242
722.52,2.27855
722.62,2.23843
722.72,2.18359
722.82,2.11681
722.92,2.05386
723.02,2.00432
723.12,1.97342
723.22,1.9632
723.32,1.97066
723.42,1.99341
723.52,2.01843
723.62,2.02696
723.72,2.0055
723.82,1.94342
723.92,1.8471
724.02,1.74505
724.12,1.67266
724.22,1.64423
724.32,1.6551
724.42,1.69699
724.52,1.75217
724.62,1.81257
724.72,1.87162
724.82,1.90304
724.92,1.88597
725.02,1.81887
725.12,1.71572
725.22,1.61792
725.32,1.56993
725.42,1.58693
725.52,1.63878
725.62,1.68112
725.72,1.67407
725.82,1.60273
725.92,1.49987
726.02,1.42363
726.12,1.41883
726.22,1.50217
726.32,1.63819
726.42,1.77139
726.52,1.85867
726.62,1.88135
726.72,1.85037
726.82,1.80268
726.92,1.78947
727.02,1.8388
727.12,1.93408
727.22,2.02652
727.32,2.06291
727.42,2.01702
727.52,1.89442
727.62,1.72971
727.72,1.58053
727.82,1.49484
727.92,1.48738
728.02,1.53761
728.12,1.6058
728.22,1.65875
728.32,1.68533
728.42,1.70823
728.52,1.74862
728.62,1.8043
728.72,1.85993
728.82,1.89538
728.92,1.89766
729.02,1.87727
729.12,1.85321
729.22,1.84018
729.32,1.83166
729.42,1.81636
729.52,1.78771
729.62,1.74502
729.72,1.70967
729.82,1.69311
729.92,1.688
730.02,1.69082
730.12,1.69956
730.22,1.71506
730.32,1.73025
730.42,1.73528
730.52,1.73194
730.62,1.72373
730.72,1.72009
730.82,1.73206
730.92,1.76495
731.02,1.82184
731.12,1.89084
731.22,1.94388
731.32,1.95446
731.42,1.92305
731.52,1.87532
731.62,1.83354
731.72,1.81607
731.82,1.8314
731.92,1.85799
732.02,1.86532
732.12,1.84867
732.22,1.82774
732.32,1.82666
732.42,1.84388
732.52,1.86788
732.62,1.88655
732.72,1.89954
732.82,1.91494
732.92,1.94313
733.02,1.99373
733.12,2.05406
733.22,2.08973
733.32,2.07594
733.42,2.01058
733.52,1.91947
733.62,1.82935
733.72,1.7667
733.82,1.74446
733.92,1.76487
734.02,1.81855
734.12,1.8837
734.22,1.94575
734.32,2.0125
734.42,2.08394
734.52,2.14868
734.62,2.18471
734.72,2.17966
734.82,2.13079
734.92,2.0586
735.02,1.99731
735.12,1.97196
735.22,1.98982
735.32,2.04535
735.42,2.10845
735.52,2.13779
735.62,2.10878
735.72,2.02394
735.82,1.90584
735.92,1.78549
736.02,1.68541
736.12,1.6152
736.22,1.59029
736.32,1.62732
736.42,1.71767
736.52,1.81775
736.62,1.88266
736.72,1.88352
736.82,1.8174
736.92,1.71774
737.02,1.63132
737.12,1.58548
737.22,1.58704
737.32,1.61609
737.42,1.64483
737.52,1.66846
737.62,1.7062
737.72,1.77407
737.82,1.86865
737.92,1.96311
738.02,2.02402
738.12,2.02884
738.22,1.96152
738.32,1.81784
738.42,1.62144
738.52,1.4166
738.62,1.23734
738.72,1.08935
738.82,0.957486
738.92,0.825005
739.02,0.691069
739.12,0.573247
739.22,0.499395
739.32,0.498443
739.42,0.574091
739.52,0.690069
739.62,0.797978
739.72,0.873909
739.82,0.926498
739.92,0.985377
740.02,1.07828
740.12,1.1961
740.22,1.292
740.32,1.31772
740.42,1.25207
740.52,1.11153
740.62,0.940517
740.72,0.78557
740.82,0.673564
740.92,0.603971
741.02,0.562108
741.12,0.528205
741.22,0.495472
741.32,0.462041
741.42,0.420395
741.52,0.368686
741.62,0.32274
741.72,0.300819
741.82,0.318956
741.92,0.373556
742.02,0.437634
742.12,0.480082
742.22,0.487614
742.32,0.467265
742.42,0.442115
742.52,0.43316
742.62,0.443085
742.72,0.459261
742.82,0.466861
742.92,0.453275
743.02,0.420487
