Depth,Th
m,ppm
676.62,10.5774
676.72,10.4666
676.82,10.9702
676.92,12.0699
677.02,13.3323
677.12,14.2237
677.22,14.5554
677.32,14.3819
677.42,13.9073
677.52,13.3021
677.62,12.683
677.72,12.1533
677.82,11.7366
677.92,11.4303
678.02,11.2465
678.12,11.2433
678.22,11.4202
678.32,11.6573
678.42,11.8957
678.52,12.1174
678.62,12.2279
678.72,12.1624
678.82,11.9733
678.92,11.9161
679.02,12.0043
679.12,11.991
679.22,11.5935
679.32,10.765
679.42,9.68281
679.52,8.70553
679.62,8.15903
679.72,8.39372
679.82,9.49222
679.92,11.0278
680.02,12.3835
680.12,13.139
680.22,13.1107
680.32,12.2808
680.42,10.8344
680.52,9.202
680.62,7.80293
680.72,6.94415
680.82,6.68968
680.92,6.84771
681.02,7.34586
681.12,8.06238
681.22,8.82829
681.32,9.46358
681.42,9.79386
681.52,9.75617
681.62,9.49326
681.72,9.21386
681.82,8.95807
681.92,8.73866
682.02,8.56483
682.12,8.42012
682.22,8.38068
682.32,8.52568
682.42,8.95055
682.52,9.69681
682.62,10.7216
682.72,11.7973
682.82,12.7009
682.92,13.4179
683.02,13.8974
683.12,14.1142
683.22,14.2568
683.32,14.67
683.42,15.6567
683.52,17.1608
683.62,18.7117
683.72,19.5653
683.82,19.1958
683.92,17.5748
684.02,15.1115
684.12,12.566
684.22,10.6203
684.32,9.45634
684.42,8.8184
684.52,8.40925
684.62,8.04253
684.72,7.66265
684.82,7.40213
684.92,7.4618
685.02,7.90068
685.12,8.54707
685.22,9.17113
685.32,9.55678
685.42,9.67718
685.52,9.61268
685.62,9.42167
685.72,9.14415
685.82,8.86317
685.92,8.67474
686.02,8.62508
686.12,8.68812
686.22,8.87337
686.32,9.04442
686.42,9.00841
686.52,8.70401
686.62,8.33076
686.72,8.21522
686.82,8.47637
686.92,9.09282
687.02,9.85004
687.12,10.6206
687.22,11.44
687.32,12.3084
687.42,13.104
687.52,13.6918
687.62,13.9498
687.72,13.8645
687.82,13.546
687.92,13.1662
688.02,12.6941
688.12,12.0471
688.22,11.2913
688.32,10.735
688.42,10.6971
688.52,11.2956
688.62,12.1759
688.72,12.7903
688.82,12.7774
688.92,12.1253
689.02,11.2041
689.12,10.5803
689.22,10.6224
689.32,11.2772
689.42,12.1321
689.52,12.7373
689.62,12.8071
689.72,12.451
689.82,12.0696
689.92,12.042
690.02,12.5157
690.12,13.2456
690.22,13.8459
690.32,14.1183
690.42,14.1897
690.52,14.3256
690.62,14.7002
690.72,15.2911
690.82,15.7835
690.92,15.9121
691.02,15.6676
691.12,15.2106
691.22,14.7519
691.32,14.2638
691.42,13.6079
691.52,12.8686
691.62,12.3221
691.72,12.3027
691.82,12.8719
691.92,13.8525
692.02,14.7459
692.12,15.0765
692.22,14.6738
692.32,13.7572
692.42,12.8826
692.52,12.5083
692.62,12.6932
692.72,13.1751
692.82,13.6316
692.92,13.9374
693.02,14.0478
693.12,13.9719
693.22,13.7694
693.32,13.5001
693.42,13.1814
693.52,12.761
693.62,12.2907
693.72,11.9189
693.82,11.7564
693.92,11.7452
694.02,11.7514
694.12,11.7887
694.22,11.9202
694.32,12.0197
694.42,11.8087
694.52,11.2182
694.62,10.4495
694.72,9.8977
694.82,9.98392
694.92,10.7873
695.02,12.0487
695.12,13.2909
695.22,14.0759
695.32,14.2161
695.42,13.8592
695.52,13.3252
695.62,12.763
695.72,12.1393
695.82,11.3834
695.92,10.4885
696.02,9.78752
696.12,9.66565
696.22,10.2244
696.32,11.254
696.42,12.4696
696.52,13.6259
696.62,14.6291
696.72,15.5859
696.82,16.4757
696.92,17.0515
697.02,16.9548
697.12,15.7785
697.22,13.5234
697.32,10.8799
697.42,8.74354
697.52,7.63312
697.62,7.50561
697.72,7.91971
697.82,8.34785
697.92,8.59194
698.02,8.80183
698.12,9.32326
698.22,10.4678
698.32,12.2497
698.42,14.2453
698.52,15.8706
698.62,16.7574
698.72,16.7741
698.82,16.0031
698.92,14.7258
699.02,13.3144
699.12,12.0761
699.22,11.1226
699.32,10.4519
699.42,10.0347
699.52,9.99342
699.62,10.6293
699.72,11.845
699.82,13.2397
699.92,14.2999
700.02,14.5724
700.12,13.8887
700.22,12.4974
700.32,11.0019
700.42,9.99828
700.52,9.85778
700.62,10.621
700.72,11.884
700.82,13.1418
700.92,13.9239
701.02,13.8373
701.12,12.9824
701.22,11.9863
701.32,11.4952
701.42,11.5978
701.52,11.9776
701.62,12.1803
701.72,11.8944
701.82,11.2615
701.92,10.7128
702.02,10.5672
702.12,10.9328
702.22,11.5857
702.32,12.1294
702.42,12.3399
702.52,12.3819
702.62,12.5432
702.72,13.1087
702.82,14.2499
702.92,15.7765
703.02,17.165
703.12,17.9274
703.22,17.7327
703.32,16.6178
703.42,14.9033
703.52,13.0449
703.62,11.5158
703.72,10.5626
703.82,10.0836
703.92,9.92675
704.02,10.0164
704.12,10.301
704.22,10.7304
704.32,11.2357
704.42,11.7442
704.52,12.2235
704.62,12.6999
704.72,13.242
704.82,13.8562
704.92,14.4357
705.02,14.6504
705.12,14.3075
705.22,13.4949
705.32,12.4949
705.42,11.7055
705.52,11.4742
705.62,11.8172
705.72,12.3398
705.82,12.4722
705.92,12.0057
706.02,11.1322
706.12,10.2698
706.22,9.64714
706.32,9.22427
706.42,8.88074
706.52,8.46541
706.62,7.96516
706.72,7.54467
706.82,7.51023
706.92,8.20533
707.02,9.59454
707.12,11.2745
707.22,12.7947
707.32,13.6687
707.42,13.6602
707.52,12.8043
707.62,11.4865
707.72,10.4043
707.82,10.1557
707.92,10.8773
708.02,12.2993
708.12,13.9986
708.22,15.7177
708.32,17.1492
708.42,18.0829
708.52,18.4595
708.62,18.2256
708.72,17.3602
708.82,16.0622
708.92,14.7525
709.02,13.8738
709.12,13.5335
709.22,13.6051
709.32,13.7489
709.42,13.4931
709.52,12.6252
709.62,11.2964
709.72,9.90954
709.82,9.05293
709.92,8.99926
710.02,9.63745
710.12,10.6012
710.22,11.4472
710.32,11.781
710.42,11.508
710.52,10.9051
710.62,10.3283
710.72,10.0207
710.82,10.2697
710.92,11.1401
711.02,12.4832
711.12,13.8982
711.22,14.9817
711.32,15.5158
711.42,15.5032
711.52,15.1853
711.62,14.8994
711.72,14.8716
711.82,15.1253
711.92,15.4691
712.02,15.8177
712.12,16.0399
712.22,15.8526
712.32,14.9962
712.42,13.5332
712.52,11.8758
712.62,10.5719
712.72,10.0636
712.82,10.4812
712.92,11.4838
713.02,12.5322
713.12,13.0984
713.22,12.9297
713.32,12.3503
713.42,11.9291
713.52,11.976
713.62,12.5092
713.72,13.3162
713.82,14.0653
713.92,14.6807
714.02,15.3015
714.12,15.9859
714.22,16.5425
714.32,16.6994
714.42,16.1639
714.52,14.786
714.62,12.8436
714.72,10.8681
714.82,9.31485
714.92,8.35769
715.02,7.79657
715.12,7.4159
715.22,7.17809
715.32,7.13396
715.42,7.43278
715.52,8.08691
715.62,9.0889
715.72,10.3304
715.82,11.5175
715.92,12.3842
716.02,12.8731
716.12,13.1322
716.22,13.3491
716.32,13.5762
716.42,13.7762
716.52,13.8685
716.62,13.849
716.72,13.7376
716.82,13.4748
716.92,13.218
717.02,13.2194
717.12,13.5361
717.22,14.1113
717.32,14.7356
717.42,15.2048
717.52,15.4352
717.62,15.3836
717.72,15.0648
717.82,14.5907
717.92,14.2355
718.02,14.1596
718.12,14.3544
718.22,14.8025
718.32,15.3485
718.42,15.6889
718.52,15.5425
718.62,14.7307
718.72,13.3307
718.82,11.8096
718.92,10.7465
719.02,10.3432
719.12,10.4697
719.22,10.8351
719.32,11.2057
719.42,11.6383
719.52,12.4011
719.62,13.6199
719.72,15.1066
719.82,16.4798
719.92,17.306
720.02,17.3317
720.12,16.8395
720.22,16.3044
720.32,16.0255
720.42,15.9829
720.52,15.8221
720.62,15.2704
720.72,14.3246
720.82,13.2688
720.92,12.5074
721.02,12.2749
721.12,12.5063
721.22,12.8215
721.32,12.8345
721.42,12.513
721.52,12.0928
721.62,11.9836
721.72,12.4841
721.82,13.503
721.92,14.5964
722.02,15.2026
722.12,15.0964
722.22,14.4324
722.32,13.5138
722.42,12.6546
722.52,12.0091
722.62,11.6183
722.72,11.4022
722.82,11.0729
722.92,10.4878
723.02,9.84001
723.12,9.4387
723.22,9.53942
723.32,10.2542
723.42,11.4482
723.52,12.7497
723.62,13.768
723.72,14.2082
723.82,14.0911
723.92,13.7815
724.02,13.5732
724.12,13.4844
724.22,13.3678
724.32,13.1656
724.42,12.8555
724.52,12.5238
724.62,12.3369
724.72,12.2917
724.82,12.3544
724.92,12.5632
725.02,12.7978
725.12,13.037
725.22,13.319
725.32,13.5853
725.42,13.6427
725.52,13.2864
725.62,12.4679
725.72,11.4727
725.82,10.8424
725.92,10.9965
726.02,11.955
726.12,13.3921
726.22,14.6803
726.32,15.2038
726.42,14.6987
726.52,13.3375
726.62,11.5322
726.72,9.80859
726.82,8.55829
726.92,7.89837
727.02,7.86722
727.12,8.30916
727.22,8.98572
727.32,9.74592
727.42,10.4656
727.52,11.0606
727.62,11.4745
727.72,11.6265
727.82,11.5597
727.92,11.3105
728.02,11.1176
728.12,11.3861
728.22,12.4192
728.32,14.1956
728.42,16.2814
728.52,17.9426
728.62,18.5487
728.72,17.9003
728.82,16.4188
728.92,14.7131
729.02,13.4673
729.12,13.076
729.22,13.3224
729.32,13.5795
729.42,13.2735
729.52,12.1494
729.62,10.4043
729.72,8.56235
729.82,7.23364
729.92,6.89582
730.02,7.74615
730.12,9.50138
730.22,11.5424
730.32,13.218
730.42,14.1995
730.52,14.5458
730.62,14.5747
730.72,14.6402
730.82,14.9427
730.92,15.4868
731.02,16.1577
731.12,16.6848
731.22,16.8415
731.32,16.5356
731.42,15.7669
731.52,14.6704
731.62,13.4779
731.72,12.3954
731.82,11.6465
731.92,11.3813
732.02,11.6495
732.12,12.4146
732.22,13.7137
732.32,15.3946
732.42,17.0165
732.52,18.1875
732.62,18.7585
732.72,18.8242
732.82,18.5789
732.92,18.0144
733.02,16.974
733.12,15.4403
733.22,13.7449
733.32,12.3818
733.42,11.8172
733.52,12.2324
733.62,13.2437
733.72,14.3065
733.82,14.9902
733.92,15.1474
734.02,15.0313
734.12,14.9296
734.22,14.8963
734.32,14.8419
734.42,14.6288
734.52,14.2341
734.62,13.6524
734.72,13.02
734.82,12.5294
734.92,12.3846
735.02,12.603
735.12,12.9514
735.22,13.1247
735.32,12.9518
735.42,12.3845
735.52,11.6427
735.62,11.0697
735.72,10.9675
735.82,11.3817
735.92,12.1066
736.02,12.7822
736.12,13.2314
736.22,13.4847
736.32,13.6485
736.42,13.7234
736.52,13.6561
736.62,13.2743
736.72,12.3738
736.82,10.9807
736.92,9.49001
737.02,8.29287
737.12,7.66602
737.22,7.61293
737.32,7.93642
737.42,8.51082
737.52,9.46723
737.62,10.9837
737.72,12.9897
737.82,15.043
737.92,16.4918
738.02,16.7171
738.12,15.6114
738.22,13.6836
738.32,11.7446
738.42,10.5106
738.52,10.1109
738.62,10.0852
738.72,9.8313
738.82,9.00253
738.92,7.71611
739.02,6.38579
739.12,5.40757
739.22,4.96883
739.32,4.91668
739.42,4.90485
739.52,4.68935
739.62,4.25421
739.72,3.72186
739.82,3.21927
739.92,2.8811
740.02,2.74037
740.12,2.77668
740.22,2.91742
740.32,3.02165
740.42,2.99037
740.52,2.80957
740.62,2.505
740.72,2.1501
740.82,1.87908
740.92,1.81101
741.02,1.91379
741.12,2.09086
741.22,2.28659
741.32,2.48583
741.42,2.70177
741.52,2.91967
741.62,3.04636
741.72,3.01395
741.82,2.83373
741.92,2.60219
742.02,2.41514
742.12,2.2969
742.22,2.22137
742.32,2.10867
742.42,1.91988
742.52,1.69672
742.62,1.54445
742.72,1.58297
742.82,1.81771
742.92,2.07915
743.02,2.17928
743.12,2.03868
743.22,1.707
743.32,1.31733
743.42,0.973119
743.52,0.711867
743.62,0.566391
743.72,0.531556
743.82,0.556602
743.92,0.620171
744.02,0.720644
744.12,0.858869
744.22,1.03135
744.32,1.27905
744.42,1.61071
744.52,1.98234
744.62,2.34021
744.72,2.64189
744.82,2.91335
744.92,3.22888
745.02,3.57843
745.12,3.93481
745.22,4.20281
745.32,4.28766
745.42,4.17402
745.52,3.92789
745.62,3.70619
745.72,3.5943
745.82,3.56972
745.92,3.56054
746.02,3.48768
746.12,3.30823
746.22,3.0088
746.32,2.67233
746.42,2.46067
746.52,2.47167
746.62,2.7378
746.72,3.18111
746.82,3.76092
746.92,4.52482
747.02,5.4452
747.12,6.38918
747.22,7.23831
747.32,7.90392
747.42,8.2942
747.52,8.40833
747.62,8.30146
747.72,8.05763
747.82,7.71749
747.92,7.2097
748.02,6.42758
748.12,5.44295
748.22,4.48736
748.32,3.73914
748.42,3.24183
748.52,3.01533
748.62,3.0438
748.72,3.31961
748.82,3.72871
748.92,4.10435
749.02,4.32554
749.12,4.3395
749.22,4.13328
749.32,3.71259
749.42,3.14298
749.52,2.5168
749.62,1.89637
749.72,1.37453
749.82,1.03382
749.92,0.952369
750.02,1.09771
750.12,1.30803
750.22,1.48025
750.32,1.66329
750.42,2.01734
750.52,2.61145
750.62,3.32798
750.72,3.92526
750.82,4.16468
750.92,3.99383
751.02,3.58172
751.12,3.20803
751.22,3.14299
751.32,3.42859
751.42,3.9881
751.52,4.71122
751.62,5.49225
751.72,6.15932
751.82,6.56455
751.92,6.8728
752.02,7.38456
752.12,8.20264
752.22,9.197
752.32,10.0548
752.42,10.4854
752.52,10.2553
752.62,9.28133
752.72,7.72297
752.82,5.90456
752.92,4.15822
753.02,2.61848
753.12,1.36903
753.22,0.645176
753.32,0.597307
753.42,1.06706
753.52,1.69757
753.62,2.17641
753.72,2.35047
753.82,2.27854
753.92,2.20299
754.02,2.3811
754.12,3.00641
754.22,4.11396
754.32,5.55956
754.42,7.06079
754.52,8.30542
754.62,9.09697
754.72,9.2795
754.82,8.748
754.92,7.5689
755.02,6.02413
755.12,4.52361
755.22,3.43217
755.32,2.87119
755.42,2.71634
755.52,2.75352
755.62,2.7899
755.72,2.75283
755.82,2.78328
755.92,3.09353
756.02,3.77112
756.12,4.77738
756.22,5.98734
756.32,7.17585
756.42,7.97523
756.52,8.10767
756.62,7.522
756.72,6.45606
756.82,5.23709
756.92,4.12673
757.02,3.29655
757.12,2.8037
757.22,2.61115
757.32,2.69793
757.42,3.13704
757.52,4.01943
757.62,5.18174
757.72,6.31765
757.82,7.16742
757.92,7.68045
758.02,7.97451
758.12,8.14438
758.22,8.1077
758.32,7.64343
758.42,6.59443
758.52,5.0495
758.62,3.28938
758.72,1.77499
758.82,0.835414
758.92,0.539943
759.02,0.765237
759.12,1.21673
759.22,1.61564
759.32,1.89976
759.42,2.06465
759.52,2.0907
759.62,1.94758
759.72,1.63707
759.82,1.23389
759.92,0.871557
760.02,0.700856
760.12,0.80433
760.22,1.10066
760.32,1.41056
760.42,1.52797
760.52,1.41031
760.62,1.18874
760.72,1.06188
760.82,1.21827
760.92,1.664
761.02,2.22823
761.12,2.66941
761.22,2.77304
761.32,2.48278
761.42,1.90602
761.52,1.26732
761.62,0.813583
761.72,0.669683
761.82,0.820539
761.92,1.08532
762.02,1.29361
762.12,1.34761
762.22,1.2729
762.32,1.23151
762.42,1.36168
762.52,1.68645
762.62,2.086
762.72,2.36482
762.82,2.34558
762.92,1.91356
763.02,1.14133
763.12,0.257028
763.22,-999.25
763.32,-999.25
763.42,-999.25
763.52,-999.25
763.62,0.519582
763.72,1.35165
763.82,2.0987
763.92,2.61707
764.02,2.85614
764.12,2.7995
764.22,2.54732
764.32,2.30559
764.42,2.18964
764.52,2.19949
764.62,2.24598
764.72,2.24128
764.82,2.11159
764.92,1.86807
765.02,1.66261
765.12,1.65688
765.22,1.92411
765.32,2.35581
765.42,2.74221
765.52,2.96599
765.62,3.00599
765.72,2.90199
765.82,2.73454
765.92,2.60356
766.02,2.53704
766.12,2.46474
766.22,2.32722
766.32,2.14949
766.42,-999.25
766.52,-999.25
766.62,-999.25
766.72,-999.25
766.82,-999.25
766.92,3.47576
767.02,3.9114
767.12,4.30846
767.22,4.62918
767.32,4.81777
767.42,4.79717
767.52,4.54274
767.62,4.0464
767.72,3.38034
767.82,2.71825
767.92,2.18227
768.02,1.78731
768.12,1.49836
768.22,1.35983
768.32,1.42924
768.42,1.78949
768.52,2.38587
768.62,3.00052
768.72,3.41327
768.82,3.54584
768.92,3.41394
769.02,3.17581
769.12,3.03993
769.22,3.0713
769.32,3.15694
769.42,3.20393
769.52,3.14423
769.62,2.98812
769.72,2.78321
769.82,2.59565
769.92,2.52539
770.02,2.6403
770.12,2.96842
770.22,3.46147
770.32,3.96208
770.42,4.32713
770.52,4.40625
770.62,4.11663
770.72,3.58994
770.82,3.05545
770.92,2.62553
771.02,2.27056
771.12,1.97478
771.22,1.75991
771.32,1.59428
771.42,1.57535
771.52,1.81134
771.62,2.29511
771.72,2.87742
771.82,3.35574
771.92,3.6039
772.02,3.69362
772.12,3.79508
772.22,3.95142
772.32,4.04846
772.42,3.96702
772.52,3.64148
772.62,3.10516
772.72,2.51664
772.82,2.04518
772.92,1.76545
773.02,1.64463
773.12,1.6604
773.22,1.7744
773.32,1.97393
773.42,2.22889
773.52,2.47129
773.62,2.60232
773.72,2.60898
773.82,2.62958
773.92,2.97457
774.02,3.77836
774.12,4.94883
774.22,6.33926
774.32,7.86498
774.42,9.52476
774.52,11.2385
774.62,12.7871
774.72,13.9366
774.82,14.4907
774.92,14.3281
775.02,13.4553
